,Year,Total CO2 eq,Average Tree Loss,,,,
0,2025,670427.6866,178009.1731,,,,
1,2026,603384.9179,160208.2558,,,,
2,2027,543046.4261,144187.43019237003,,,,
3,2028,488741.78349567903,129768.68717313303,,,,
4,2029,439867.6051461111,116791.81845581971,,,,
5,2030,395880.8446,105112.63661023775,,,,
6,2031,356292.7602,94601.37294921397,,,,
7,2032,320663.48415151506,85141.23565429258,,,,
8,2033,288597.13573636353,76627.11208886333,,,,
9,2034,259737.4221627272,68964.40088,,,,
10,2035,233763.6799464545,62067.96079,,,,
11,2036,210387.312,55861.16471278136,,,,
12,2037,189348.58075662816,50275.04824150324,,,,
13,2038,170413.72268096532,45247.543417352914,,,,
14,2039,153372.3504128688,40722.78907561762,,,,
15,2040,138035.11537158192,36650.51016805586,,,,
16,2041,124231.60383442373,32985.459151250274,,,,
17,2042,111808.44345098137,29686.91323612525,,,,
18,2043,100627.59910588323,26718.221912512723,,,,
19,2044,90564.83919529492,24046.399721261452,,,,
